epoch (ms),time (-13:00),elapsed (s),w (number),x (number),y (number), z (number)
1595137401210,2020-07-19T01:43:21.210,3.420,0.924,0.086,-0.368,0.062
1595137401220,2020-07-19T01:43:21.220,3.430,0.923,0.091,-0.369,0.060
1595137401230,2020-07-19T01:43:21.230,3.440,0.922,0.095,-0.371,0.059
1595137401240,2020-07-19T01:43:21.240,3.450,0.921,0.098,-0.373,0.059
1595137401250,2020-07-19T01:43:21.250,3.460,0.920,0.101,-0.375,0.059
1595137401260,2020-07-19T01:43:21.260,3.470,0.918,0.104,-0.377,0.059
1595137401270,2020-07-19T01:43:21.270,3.480,0.917,0.107,-0.380,0.059
1595137401280,2020-07-19T01:43:21.280,3.490,0.915,0.111,-0.384,0.060
1595137401290,2020-07-19T01:43:21.290,3.500,0.913,0.114,-0.387,0.060
1595137401300,2020-07-19T01:43:21.300,3.510,0.911,0.117,-0.392,0.060
1595137401310,2020-07-19T01:43:21.310,3.520,0.908,0.119,-0.397,0.061
1595137401320,2020-07-19T01:43:21.320,3.530,0.905,0.121,-0.402,0.062
1595137401330,2020-07-19T01:43:21.330,3.540,0.902,0.122,-0.408,0.064
1595137401340,2020-07-19T01:43:21.340,3.550,0.899,0.123,-0.415,0.066
1595137401350,2020-07-19T01:43:21.350,3.560,0.896,0.123,-0.421,0.069
1595137401360,2020-07-19T01:43:21.360,3.570,0.893,0.122,-0.428,0.071
1595137401370,2020-07-19T01:43:21.370,3.580,0.889,0.121,-0.435,0.075
1595137401380,2020-07-19T01:43:21.380,3.590,0.885,0.120,-0.443,0.079
1595137401390,2020-07-19T01:43:21.390,3.600,0.880,0.118,-0.453,0.083
1595137401400,2020-07-19T01:43:21.400,3.610,0.874,0.116,-0.465,0.086
1595137401410,2020-07-19T01:43:21.410,3.620,0.866,0.113,-0.478,0.088
1595137401420,2020-07-19T01:43:21.420,3.630,0.858,0.110,-0.494,0.088
1595137401430,2020-07-19T01:43:21.430,3.640,0.848,0.106,-0.512,0.086
1595137401440,2020-07-19T01:43:21.440,3.650,0.835,0.103,-0.534,0.082
1595137401450,2020-07-19T01:43:21.450,3.660,0.820,0.103,-0.558,0.075
1595137401460,2020-07-19T01:43:21.460,3.670,0.801,0.105,-0.585,0.067
1595137401470,2020-07-19T01:43:21.470,3.680,0.779,0.112,-0.614,0.057
1595137401480,2020-07-19T01:43:21.480,3.690,0.754,0.120,-0.644,0.047
1595137401490,2020-07-19T01:43:21.490,3.700,0.729,0.120,-0.673,0.046
1595137401500,2020-07-19T01:43:21.500,3.710,0.712,0.110,-0.692,0.054
1595137401510,2020-07-19T01:43:21.510,3.720,0.703,0.110,-0.700,0.060
1595137401520,2020-07-19T01:43:21.520,3.730,0.692,0.134,-0.707,0.062
1595137401530,2020-07-19T01:43:21.530,3.740,0.681,0.156,-0.713,0.064
1595137401540,2020-07-19T01:43:21.540,3.750,0.679,0.160,-0.713,0.067
1595137401550,2020-07-19T01:43:21.550,3.760,0.678,0.153,-0.715,0.075
1595137401560,2020-07-19T01:43:21.560,3.770,0.681,0.143,-0.713,0.087
1595137401570,2020-07-19T01:43:21.570,3.780,0.686,0.141,-0.707,0.100
1595137401580,2020-07-19T01:43:21.580,3.790,0.688,0.142,-0.703,0.113
1595137401590,2020-07-19T01:43:21.590,3.800,0.693,0.141,-0.695,0.125
1595137401600,2020-07-19T01:43:21.600,3.810,0.700,0.138,-0.687,0.136
1595137401610,2020-07-19T01:43:21.610,3.820,0.708,0.136,-0.677,0.147
1595137401620,2020-07-19T01:43:21.620,3.830,0.718,0.135,-0.665,0.155
1595137401630,2020-07-19T01:43:21.630,3.840,0.728,0.134,-0.652,0.161
1595137401640,2020-07-19T01:43:21.640,3.850,0.739,0.134,-0.639,0.167
1595137401650,2020-07-19T01:43:21.650,3.860,0.750,0.133,-0.625,0.171
1595137401660,2020-07-19T01:43:21.660,3.870,0.762,0.131,-0.609,0.175
1595137401670,2020-07-19T01:43:21.670,3.880,0.775,0.128,-0.593,0.179
1595137401680,2020-07-19T01:43:21.680,3.890,0.787,0.125,-0.575,0.182
1595137401690,2020-07-19T01:43:21.690,3.900,0.800,0.122,-0.558,0.185
1595137401700,2020-07-19T01:43:21.700,3.910,0.812,0.118,-0.539,0.188
1595137401710,2020-07-19T01:43:21.710,3.920,0.824,0.115,-0.520,0.191
1595137401720,2020-07-19T01:43:21.720,3.930,0.836,0.111,-0.501,0.192
1595137401730,2020-07-19T01:43:21.730,3.940,0.848,0.108,-0.481,0.194
1595137401740,2020-07-19T01:43:21.740,3.950,0.859,0.104,-0.461,0.195
1595137401750,2020-07-19T01:43:21.750,3.960,0.870,0.098,-0.441,0.196
1595137401760,2020-07-19T01:43:21.760,3.970,0.880,0.093,-0.422,0.198
1595137401770,2020-07-19T01:43:21.770,3.980,0.889,0.088,-0.403,0.200
1595137401780,2020-07-19T01:43:21.780,3.990,0.897,0.084,-0.384,0.201
1595137401790,2020-07-19T01:43:21.790,4.000,0.905,0.081,-0.365,0.203
1595137401800,2020-07-19T01:43:21.800,4.010,0.912,0.080,-0.347,0.205
1595137401810,2020-07-19T01:43:21.810,4.020,0.917,0.082,-0.331,0.207
1595137401820,2020-07-19T01:43:21.820,4.030,0.921,0.086,-0.318,0.209
1595137401830,2020-07-19T01:43:21.830,4.040,0.924,0.089,-0.307,0.211
1595137401840,2020-07-19T01:43:21.840,4.050,0.925,0.089,-0.299,0.214
1595137401850,2020-07-19T01:43:21.850,4.060,0.927,0.090,-0.293,0.217
1595137401860,2020-07-19T01:43:21.860,4.070,0.927,0.091,-0.290,0.219
1595137401870,2020-07-19T01:43:21.870,4.080,0.926,0.093,-0.291,0.222
1595137401880,2020-07-19T01:43:21.880,4.090,0.926,0.095,-0.288,0.224
1595137401890,2020-07-19T01:43:21.890,4.100,0.929,0.098,-0.280,0.222
1595137401900,2020-07-19T01:43:21.900,4.110,0.931,0.102,-0.277,0.216
1595137401910,2020-07-19T01:43:21.910,4.120,0.931,0.106,-0.276,0.213
1595137401920,2020-07-19T01:43:21.920,4.130,0.932,0.106,-0.274,0.214
1595137401930,2020-07-19T01:43:21.930,4.140,0.933,0.104,-0.272,0.212
1595137401940,2020-07-19T01:43:21.940,4.150,0.934,0.098,-0.272,0.208
1595137401950,2020-07-19T01:43:21.950,4.160,0.934,0.088,-0.275,0.211
1595137401960,2020-07-19T01:43:21.960,4.170,0.932,0.065,-0.279,0.221
1595137401970,2020-07-19T01:43:21.970,4.180,0.927,0.065,-0.293,0.224
1595137401980,2020-07-19T01:43:21.980,4.190,0.922,0.083,-0.309,0.220
1595137401990,2020-07-19T01:43:21.990,4.200,0.920,0.086,-0.315,0.217
1595137402000,2020-07-19T01:43:22.000,4.210,0.921,0.087,-0.316,0.212
1595137402010,2020-07-19T01:43:22.010,4.220,0.918,0.094,-0.324,0.210
1595137402020,2020-07-19T01:43:22.020,4.230,0.916,0.091,-0.326,0.217
1595137402030,2020-07-19T01:43:22.030,4.240,0.915,0.090,-0.328,0.218
1595137402040,2020-07-19T01:43:22.040,4.250,0.913,0.095,-0.332,0.215
1595137402050,2020-07-19T01:43:22.050,4.260,0.913,0.095,-0.334,0.216
1595137402060,2020-07-19T01:43:22.060,4.270,0.912,0.095,-0.336,0.216
1595137402070,2020-07-19T01:43:22.070,4.280,0.911,0.095,-0.338,0.216
1595137402080,2020-07-19T01:43:22.080,4.290,0.910,0.095,-0.340,0.217
1595137402090,2020-07-19T01:43:22.090,4.300,0.910,0.094,-0.342,0.217
1595137402100,2020-07-19T01:43:22.100,4.310,0.909,0.093,-0.344,0.217
1595137402110,2020-07-19T01:43:22.110,4.320,0.908,0.092,-0.346,0.217
1595137402120,2020-07-19T01:43:22.120,4.330,0.908,0.090,-0.347,0.218
1595137402130,2020-07-19T01:43:22.130,4.340,0.907,0.089,-0.349,0.218
1595137402140,2020-07-19T01:43:22.140,4.350,0.907,0.088,-0.350,0.217
1595137402150,2020-07-19T01:43:22.150,4.360,0.906,0.087,-0.352,0.216
1595137402160,2020-07-19T01:43:22.160,4.370,0.906,0.086,-0.354,0.217
1595137402170,2020-07-19T01:43:22.170,4.380,0.906,0.085,-0.355,0.217
1595137402180,2020-07-19T01:43:22.180,4.390,0.905,0.084,-0.356,0.216
1595137402190,2020-07-19T01:43:22.190,4.400,0.905,0.084,-0.358,0.216
1595137402200,2020-07-19T01:43:22.200,4.410,0.904,0.083,-0.359,0.215
1595137402210,2020-07-19T01:43:22.210,4.420,0.904,0.082,-0.360,0.215
1595137402220,2020-07-19T01:43:22.220,4.430,0.907,0.093,-0.352,0.210
1595137402230,2020-07-19T01:43:22.230,4.440,0.907,0.093,-0.353,0.210
1595137402240,2020-07-19T01:43:22.240,4.450,0.907,0.092,-0.354,0.209
1595137402250,2020-07-19T01:43:22.250,4.460,0.907,0.092,-0.355,0.209
1595137402260,2020-07-19T01:43:22.260,4.470,0.906,0.092,-0.356,0.208
1595137402270,2020-07-19T01:43:22.270,4.480,0.906,0.092,-0.357,0.208
1595137402280,2020-07-19T01:43:22.280,4.490,0.906,0.092,-0.358,0.207
1595137402290,2020-07-19T01:43:22.290,4.500,0.905,0.092,-0.360,0.206
1595137402300,2020-07-19T01:43:22.300,4.510,0.905,0.093,-0.361,0.204
1595137402310,2020-07-19T01:43:22.310,4.520,0.905,0.094,-0.362,0.204
1595137402320,2020-07-19T01:43:22.320,4.530,0.905,0.094,-0.363,0.203
1595137402330,2020-07-19T01:43:22.330,4.540,0.904,0.096,-0.364,0.202
1595137402340,2020-07-19T01:43:22.340,4.550,0.904,0.097,-0.364,0.201
1595137402350,2020-07-19T01:43:22.350,4.560,0.904,0.098,-0.365,0.201
1595137402360,2020-07-19T01:43:22.360,4.570,0.903,0.099,-0.366,0.200
1595137402370,2020-07-19T01:43:22.370,4.580,0.903,0.101,-0.367,0.199
1595137402380,2020-07-19T01:43:22.380,4.590,0.903,0.104,-0.368,0.198
1595137402390,2020-07-19T01:43:22.390,4.600,0.902,0.106,-0.369,0.196
1595137402400,2020-07-19T01:43:22.400,4.610,0.902,0.108,-0.370,0.194
1595137402410,2020-07-19T01:43:22.410,4.620,0.902,0.109,-0.371,0.194
1595137402420,2020-07-19T01:43:22.420,4.630,0.901,0.110,-0.372,0.193
1595137402430,2020-07-19T01:43:22.430,4.640,0.901,0.111,-0.374,0.192
1595137402440,2020-07-19T01:43:22.440,4.650,0.900,0.111,-0.375,0.193
1595137402450,2020-07-19T01:43:22.450,4.660,0.899,0.111,-0.378,0.193
1595137402460,2020-07-19T01:43:22.460,4.670,0.898,0.112,-0.380,0.192
1595137402470,2020-07-19T01:43:22.470,4.680,0.896,0.112,-0.383,0.193
1595137402480,2020-07-19T01:43:22.480,4.690,0.895,0.111,-0.387,0.193
1595137402490,2020-07-19T01:43:22.490,4.700,0.893,0.111,-0.391,0.194
1595137402500,2020-07-19T01:43:22.500,4.710,0.891,0.111,-0.396,0.194
1595137402510,2020-07-19T01:43:22.510,4.720,0.888,0.110,-0.401,0.194
1595137402520,2020-07-19T01:43:22.520,4.730,0.886,0.110,-0.406,0.195
1595137402530,2020-07-19T01:43:22.530,4.740,0.883,0.109,-0.413,0.195
1595137402540,2020-07-19T01:43:22.540,4.750,0.879,0.107,-0.420,0.196
1595137402550,2020-07-19T01:43:22.550,4.760,0.875,0.105,-0.429,0.197
1595137402560,2020-07-19T01:43:22.560,4.770,0.870,0.103,-0.440,0.197
1595137402570,2020-07-19T01:43:22.570,4.780,0.864,0.101,-0.452,0.197
1595137402580,2020-07-19T01:43:22.580,4.790,0.856,0.098,-0.468,0.196
1595137402590,2020-07-19T01:43:22.590,4.800,0.847,0.095,-0.486,0.194
1595137402600,2020-07-19T01:43:22.600,4.810,0.835,0.091,-0.507,0.192
1595137402610,2020-07-19T01:43:22.610,4.820,0.823,0.085,-0.529,0.189
1595137402620,2020-07-19T01:43:22.620,4.830,0.809,0.082,-0.552,0.185
1595137402630,2020-07-19T01:43:22.630,4.840,0.793,0.081,-0.575,0.182
1595137402640,2020-07-19T01:43:22.640,4.850,0.776,0.084,-0.598,0.179
1595137402650,2020-07-19T01:43:22.650,4.860,0.757,0.087,-0.622,0.181
1595137402660,2020-07-19T01:43:22.660,4.870,0.743,0.084,-0.637,0.188
1595137402670,2020-07-19T01:43:22.670,4.880,0.743,0.076,-0.636,0.193
1595137402680,2020-07-19T01:43:22.680,4.890,0.742,0.074,-0.637,0.195
1595137402690,2020-07-19T01:43:22.690,4.900,0.731,0.072,-0.648,0.202
1595137402700,2020-07-19T01:43:22.700,4.910,0.725,0.061,-0.653,0.211
1595137402710,2020-07-19T01:43:22.710,4.920,0.722,0.060,-0.654,0.217
1595137402720,2020-07-19T01:43:22.720,4.930,0.721,0.062,-0.654,0.221
1595137402730,2020-07-19T01:43:22.730,4.940,0.722,0.060,-0.652,0.224
1595137402740,2020-07-19T01:43:22.740,4.950,0.723,0.058,-0.650,0.227
1595137402750,2020-07-19T01:43:22.750,4.960,0.726,0.057,-0.645,0.229
1595137402760,2020-07-19T01:43:22.760,4.970,0.731,0.056,-0.639,0.230
1595137402770,2020-07-19T01:43:22.770,4.980,0.738,0.057,-0.633,0.229
1595137402780,2020-07-19T01:43:22.780,4.990,0.745,0.057,-0.624,0.227
1595137402790,2020-07-19T01:43:22.790,5.000,0.754,0.056,-0.615,0.225
1595137402800,2020-07-19T01:43:22.800,5.010,0.763,0.057,-0.604,0.222
1595137402810,2020-07-19T01:43:22.810,5.020,0.774,0.058,-0.592,0.219
1595137402820,2020-07-19T01:43:22.820,5.030,0.784,0.061,-0.579,0.216
1595137402830,2020-07-19T01:43:22.830,5.040,0.793,0.065,-0.566,0.215
1595137402840,2020-07-19T01:43:22.840,5.050,0.808,0.063,-0.547,0.208
1595137402850,2020-07-19T01:43:22.850,5.060,0.820,0.063,-0.532,0.202
1595137402860,2020-07-19T01:43:22.860,5.070,0.831,0.067,-0.516,0.197
1595137402870,2020-07-19T01:43:22.870,5.080,0.843,0.068,-0.498,0.192
1595137402880,2020-07-19T01:43:22.880,5.090,0.854,0.070,-0.481,0.186
1595137402890,2020-07-19T01:43:22.890,5.100,0.865,0.072,-0.463,0.180
1595137402900,2020-07-19T01:43:22.900,5.110,0.875,0.074,-0.446,0.174
1595137402910,2020-07-19T01:43:22.910,5.120,0.885,0.075,-0.427,0.169
1595137402920,2020-07-19T01:43:22.920,5.130,0.895,0.076,-0.407,0.166
1595137402930,2020-07-19T01:43:22.930,5.140,0.904,0.078,-0.387,0.164
1595137402940,2020-07-19T01:43:22.940,5.150,0.912,0.080,-0.367,0.165
1595137402950,2020-07-19T01:43:22.950,5.160,0.919,0.083,-0.347,0.167
1595137402960,2020-07-19T01:43:22.960,5.170,0.926,0.087,-0.328,0.168
1595137402970,2020-07-19T01:43:22.970,5.180,0.932,0.091,-0.308,0.169
1595137402980,2020-07-19T01:43:22.980,5.190,0.936,0.097,-0.291,0.170
1595137402990,2020-07-19T01:43:22.990,5.200,0.940,0.103,-0.278,0.171
1595137403000,2020-07-19T01:43:23.000,5.210,0.941,0.108,-0.270,0.171
1595137403010,2020-07-19T01:43:23.010,5.220,0.942,0.113,-0.265,0.172
1595137403020,2020-07-19T01:43:23.020,5.230,0.943,0.115,-0.259,0.173
1595137403030,2020-07-19T01:43:23.030,5.240,0.946,0.115,-0.249,0.174
1595137403040,2020-07-19T01:43:23.040,5.250,0.948,0.113,-0.240,0.176
1595137403050,2020-07-19T01:43:23.050,5.260,0.949,0.111,-0.234,0.178
1595137403060,2020-07-19T01:43:23.060,5.270,0.950,0.111,-0.230,0.179
1595137403070,2020-07-19T01:43:23.070,5.280,0.951,0.111,-0.226,0.181
1595137403080,2020-07-19T01:43:23.080,5.290,0.952,0.110,-0.220,0.182
1595137403090,2020-07-19T01:43:23.090,5.300,0.953,0.111,-0.215,0.182
1595137403100,2020-07-19T01:43:23.100,5.310,0.953,0.111,-0.214,0.184
1595137403110,2020-07-19T01:43:23.110,5.320,0.952,0.110,-0.215,0.188
1595137403120,2020-07-19T01:43:23.120,5.330,0.952,0.108,-0.212,0.194
1595137403130,2020-07-19T01:43:23.130,5.340,0.952,0.102,-0.207,0.200
1595137403140,2020-07-19T01:43:23.140,5.350,0.953,0.098,-0.202,0.205
1595137403150,2020-07-19T01:43:23.150,5.360,0.950,0.103,-0.207,0.212
1595137403160,2020-07-19T01:43:23.160,5.370,0.945,0.116,-0.217,0.217
1595137403170,2020-07-19T01:43:23.170,5.380,0.941,0.129,-0.225,0.215
1595137403180,2020-07-19T01:43:23.180,5.390,0.939,0.138,-0.234,0.210
1595137403190,2020-07-19T01:43:23.190,5.400,0.937,0.149,-0.242,0.205
1595137403200,2020-07-19T01:43:23.200,5.410,0.934,0.155,-0.254,0.199
1595137403210,2020-07-19T01:43:23.210,5.420,0.930,0.158,-0.266,0.196
1595137403220,2020-07-19T01:43:23.220,5.430,0.927,0.155,-0.278,0.198
1595137403230,2020-07-19T01:43:23.230,5.440,0.924,0.147,-0.289,0.205
1595137403240,2020-07-19T01:43:23.240,5.450,0.918,0.135,-0.299,0.224
1595137403250,2020-07-19T01:43:23.250,5.460,0.914,0.129,-0.300,0.239
1595137403260,2020-07-19T01:43:23.260,5.470,0.914,0.138,-0.303,0.231
1595137403270,2020-07-19T01:43:23.270,5.480,0.915,0.146,-0.307,0.219
1595137403280,2020-07-19T01:43:23.280,5.490,0.914,0.147,-0.309,0.219
1595137403290,2020-07-19T01:43:23.290,5.500,0.912,0.146,-0.311,0.223
1595137403300,2020-07-19T01:43:23.300,5.510,0.911,0.148,-0.314,0.223
1595137403310,2020-07-19T01:43:23.310,5.520,0.910,0.149,-0.316,0.224
1595137403320,2020-07-19T01:43:23.320,5.530,0.909,0.150,-0.318,0.225
1595137403330,2020-07-19T01:43:23.330,5.540,0.908,0.151,-0.320,0.225
1595137403340,2020-07-19T01:43:23.340,5.550,0.907,0.152,-0.321,0.225
1595137403350,2020-07-19T01:43:23.350,5.560,0.907,0.154,-0.322,0.225
1595137403360,2020-07-19T01:43:23.360,5.570,0.906,0.155,-0.323,0.225
1595137403370,2020-07-19T01:43:23.370,5.580,0.906,0.157,-0.324,0.224
1595137403380,2020-07-19T01:43:23.380,5.590,0.905,0.159,-0.325,0.223
1595137403390,2020-07-19T01:43:23.390,5.600,0.905,0.160,-0.325,0.224
1595137403400,2020-07-19T01:43:23.400,5.610,0.904,0.161,-0.326,0.224
1595137403410,2020-07-19T01:43:23.410,5.620,0.904,0.164,-0.326,0.223
1595137403420,2020-07-19T01:43:23.420,5.630,0.904,0.165,-0.326,0.223
1595137403430,2020-07-19T01:43:23.430,5.640,0.904,0.166,-0.325,0.223
1595137403440,2020-07-19T01:43:23.440,5.650,0.903,0.168,-0.325,0.223
1595137403450,2020-07-19T01:43:23.450,5.660,0.903,0.169,-0.326,0.222
1595137403460,2020-07-19T01:43:23.460,5.670,0.903,0.171,-0.326,0.222
1595137403470,2020-07-19T01:43:23.470,5.680,0.903,0.173,-0.326,0.221
1595137403480,2020-07-19T01:43:23.480,5.690,0.902,0.175,-0.327,0.220
1595137403490,2020-07-19T01:43:23.490,5.700,0.902,0.176,-0.327,0.220
1595137403500,2020-07-19T01:43:23.500,5.710,0.902,0.176,-0.328,0.220
1595137403510,2020-07-19T01:43:23.510,5.720,0.901,0.178,-0.329,0.219
1595137403520,2020-07-19T01:43:23.520,5.730,0.900,0.179,-0.331,0.219
1595137403530,2020-07-19T01:43:23.530,5.740,0.900,0.180,-0.332,0.219
1595137403540,2020-07-19T01:43:23.540,5.750,0.899,0.182,-0.334,0.216
1595137403550,2020-07-19T01:43:23.550,5.760,0.898,0.184,-0.337,0.214
1595137403560,2020-07-19T01:43:23.560,5.770,0.897,0.186,-0.339,0.214
1595137403570,2020-07-19T01:43:23.570,5.780,0.896,0.187,-0.342,0.213
1595137403580,2020-07-19T01:43:23.580,5.790,0.895,0.189,-0.345,0.212
1595137403590,2020-07-19T01:43:23.590,5.800,0.894,0.190,-0.347,0.211
1595137403600,2020-07-19T01:43:23.600,5.810,0.892,0.191,-0.350,0.211
1595137403610,2020-07-19T01:43:23.610,5.820,0.891,0.192,-0.353,0.210
1595137403620,2020-07-19T01:43:23.620,5.830,0.890,0.192,-0.356,0.210
1595137403630,2020-07-19T01:43:23.630,5.840,0.889,0.192,-0.360,0.210
1595137403640,2020-07-19T01:43:23.640,5.850,0.887,0.192,-0.363,0.210
1595137403650,2020-07-19T01:43:23.650,5.860,0.886,0.191,-0.366,0.210
1595137403660,2020-07-19T01:43:23.660,5.870,0.885,0.190,-0.369,0.210
1595137403670,2020-07-19T01:43:23.670,5.880,0.884,0.189,-0.373,0.211
1595137403680,2020-07-19T01:43:23.680,5.890,0.882,0.188,-0.377,0.211
1595137403690,2020-07-19T01:43:23.690,5.900,0.880,0.187,-0.381,0.213
1595137403700,2020-07-19T01:43:23.700,5.910,0.878,0.186,-0.386,0.214
1595137403710,2020-07-19T01:43:23.710,5.920,0.875,0.185,-0.392,0.216
1595137403720,2020-07-19T01:43:23.720,5.930,0.872,0.184,-0.398,0.219
1595137403730,2020-07-19T01:43:23.730,5.940,0.868,0.183,-0.405,0.221
1595137403740,2020-07-19T01:43:23.740,5.950,0.864,0.182,-0.412,0.224
1595137403750,2020-07-19T01:43:23.750,5.960,0.860,0.181,-0.420,0.226
1595137403760,2020-07-19T01:43:23.760,5.970,0.855,0.180,-0.429,0.228
1595137403770,2020-07-19T01:43:23.770,5.980,0.850,0.179,-0.440,0.228
1595137403780,2020-07-19T01:43:23.780,5.990,0.843,0.178,-0.453,0.228
1595137403790,2020-07-19T01:43:23.790,6.000,0.836,0.176,-0.468,0.226
1595137403800,2020-07-19T01:43:23.800,6.010,0.827,0.173,-0.486,0.225
1595137403810,2020-07-19T01:43:23.810,6.020,0.816,0.169,-0.506,0.223
1595137403820,2020-07-19T01:43:23.820,6.030,0.802,0.163,-0.531,0.220
1595137403830,2020-07-19T01:43:23.830,6.040,0.785,0.155,-0.560,0.216
1595137403840,2020-07-19T01:43:23.840,6.050,0.766,0.145,-0.590,0.210
1595137403850,2020-07-19T01:43:23.850,6.060,0.746,0.136,-0.619,0.204
1595137403860,2020-07-19T01:43:23.860,6.070,0.721,0.132,-0.651,0.197
1595137403870,2020-07-19T01:43:23.870,6.080,0.692,0.120,-0.686,0.192
1595137403880,2020-07-19T01:43:23.880,6.090,0.662,0.095,-0.716,0.200
1595137403890,2020-07-19T01:43:23.890,6.100,0.652,0.080,-0.725,0.204
1595137403900,2020-07-19T01:43:23.900,6.110,0.639,0.112,-0.732,0.207
1595137403910,2020-07-19T01:43:23.910,6.120,0.625,0.149,-0.734,0.219
1595137403920,2020-07-19T01:43:23.920,6.130,0.616,0.151,-0.739,0.227
1595137403930,2020-07-19T01:43:23.930,6.140,0.610,0.155,-0.742,0.230
1595137403940,2020-07-19T01:43:23.940,6.150,0.610,0.167,-0.738,0.236
1595137403950,2020-07-19T01:43:23.950,6.160,0.609,0.177,-0.731,0.250
1595137403960,2020-07-19T01:43:23.960,6.170,0.611,0.192,-0.722,0.261
1595137403970,2020-07-19T01:43:23.970,6.180,0.612,0.207,-0.713,0.273
1595137403980,2020-07-19T01:43:23.980,6.190,0.614,0.218,-0.703,0.286
1595137403990,2020-07-19T01:43:23.990,6.200,0.616,0.228,-0.692,0.298
1595137404000,2020-07-19T01:43:24.000,6.210,0.621,0.240,-0.679,0.309
1595137404010,2020-07-19T01:43:24.010,6.220,0.627,0.254,-0.664,0.318
1595137404020,2020-07-19T01:43:24.020,6.230,0.633,0.267,-0.650,0.325
1595137404030,2020-07-19T01:43:24.030,6.240,0.640,0.275,-0.636,0.333
1595137404040,2020-07-19T01:43:24.040,6.250,0.647,0.282,-0.621,0.341
1595137404050,2020-07-19T01:43:24.050,6.260,0.653,0.291,-0.605,0.350
1595137404060,2020-07-19T01:43:24.060,6.270,0.659,0.301,-0.589,0.358
1595137404070,2020-07-19T01:43:24.070,6.280,0.665,0.309,-0.572,0.368
1595137404080,2020-07-19T01:43:24.080,6.290,0.671,0.315,-0.555,0.378
1595137404090,2020-07-19T01:43:24.090,6.300,0.677,0.322,-0.537,0.388
1595137404100,2020-07-19T01:43:24.100,6.310,0.683,0.327,-0.518,0.398
1595137404110,2020-07-19T01:43:24.110,6.320,0.689,0.332,-0.497,0.409
1595137404120,2020-07-19T01:43:24.120,6.330,0.696,0.336,-0.476,0.419
1595137404130,2020-07-19T01:43:24.130,6.340,0.702,0.340,-0.456,0.430
1595137404140,2020-07-19T01:43:24.140,6.350,0.707,0.341,-0.435,0.440
1595137404150,2020-07-19T01:43:24.150,6.360,0.713,0.342,-0.414,0.451
1595137404160,2020-07-19T01:43:24.160,6.370,0.717,0.343,-0.392,0.463
1595137404170,2020-07-19T01:43:24.170,6.380,0.721,0.342,-0.370,0.475
1595137404180,2020-07-19T01:43:24.180,6.390,0.723,0.341,-0.348,0.489
1595137404190,2020-07-19T01:43:24.190,6.400,0.723,0.337,-0.328,0.506
1595137404200,2020-07-19T01:43:24.200,6.410,0.721,0.333,-0.308,0.523
1595137404210,2020-07-19T01:43:24.210,6.420,0.718,0.328,-0.288,0.542
1595137404220,2020-07-19T01:43:24.220,6.430,0.713,0.323,-0.269,0.561
1595137404230,2020-07-19T01:43:24.230,6.440,0.708,0.316,-0.249,0.580
1595137404240,2020-07-19T01:43:24.240,6.450,0.702,0.309,-0.232,0.598
1595137404250,2020-07-19T01:43:24.250,6.460,0.696,0.300,-0.216,0.616
1595137404260,2020-07-19T01:43:24.260,6.470,0.690,0.291,-0.201,0.632
1595137404270,2020-07-19T01:43:24.270,6.480,0.684,0.285,-0.186,0.645
1595137404280,2020-07-19T01:43:24.280,6.490,0.679,0.279,-0.173,0.656
1595137404290,2020-07-19T01:43:24.290,6.500,0.675,0.274,-0.160,0.666
1595137404300,2020-07-19T01:43:24.300,6.510,0.671,0.269,-0.147,0.675
1595137404310,2020-07-19T01:43:24.310,6.520,0.666,0.264,-0.136,0.684
1595137404320,2020-07-19T01:43:24.320,6.530,0.659,0.260,-0.128,0.695
1595137404330,2020-07-19T01:43:24.330,6.540,0.650,0.254,-0.122,0.706
1595137404340,2020-07-19T01:43:24.340,6.550,0.641,0.245,-0.117,0.718
1595137404350,2020-07-19T01:43:24.350,6.560,0.633,0.241,-0.111,0.727
1595137404360,2020-07-19T01:43:24.360,6.570,0.626,0.245,-0.106,0.733
1595137404370,2020-07-19T01:43:24.370,6.580,0.618,0.251,-0.102,0.738
1595137404380,2020-07-19T01:43:24.380,6.590,0.608,0.254,-0.098,0.746
1595137404390,2020-07-19T01:43:24.390,6.600,0.598,0.254,-0.093,0.755
1595137404400,2020-07-19T01:43:24.400,6.610,0.588,0.254,-0.090,0.763
1595137404410,2020-07-19T01:43:24.410,6.620,0.577,0.258,-0.088,0.770
1595137404420,2020-07-19T01:43:24.420,6.630,0.565,0.265,-0.087,0.776
1595137404430,2020-07-19T01:43:24.430,6.640,0.555,0.276,-0.086,0.780
1595137404440,2020-07-19T01:43:24.440,6.650,0.545,0.292,-0.094,0.780
1595137404450,2020-07-19T01:43:24.450,6.660,0.538,0.302,-0.101,0.781
1595137404460,2020-07-19T01:43:24.460,6.670,0.538,0.307,-0.102,0.778
1595137404470,2020-07-19T01:43:24.470,6.680,0.539,0.314,-0.114,0.773
1595137404480,2020-07-19T01:43:24.480,6.690,0.524,0.308,-0.146,0.781
1595137404490,2020-07-19T01:43:24.490,6.700,0.513,0.309,-0.154,0.786
1595137404500,2020-07-19T01:43:24.500,6.710,0.506,0.310,-0.154,0.790
1595137404510,2020-07-19T01:43:24.510,6.720,0.511,0.318,-0.153,0.784
1595137404520,2020-07-19T01:43:24.520,6.730,0.518,0.324,-0.153,0.777
